AE &        UC &       BFD &       STU &     eCEPP &   ccECP.S & ccECP  
    0.509479 &     0.003048 &   0.043130   &     0.064818 &    -0.000680 &    0.008299   &    0.008299  
    1.419374 &     0.011864 &   0.079103   &     0.084764 &    -0.002449 &    0.006857   &    0.006857  
    4.283618 &     0.011646 &   0.143078   &     0.152030 &    -0.006531 &    0.008463   &    0.008463  
    6.542273 &     0.002095 &   0.009143   &     0.028273 &    -0.003293 &   -0.009606   &   -0.009606  
    7.144951 &     0.019375 &   0.112982   &     0.138533 &    -0.000463 &   -0.000408   &   -0.000408  
   19.344148 &     0.004626 &   0.015048   &     0.105471 &     0.001551 &   -0.021660   &   -0.021660  
   44.069078 &    -0.040491 &  -0.166016   &     0.123866 &    -0.013715 &    0.002667   &    0.002667  
