r,ae,uc,bfd,stu,ccECP.S,ccECP
1.2,0.1409757,0.1419729,0.132649,0.1370179,0.1356586,0.1415313
1.3,-0.0100201,-0.0094084,-0.0156563,-0.0115757,-0.0142733,-0.010009
1.4,-0.0914338,-0.0910536,-0.0949761,-0.0912566,-0.094704,-0.0916424
1.5,-0.1294959,-0.1293055,-0.1313948,-0.1280928,-0.1319563,-0.1297831
1.6,-0.1407382,-0.140736,-0.1412907,-0.1384656,-0.1425483,-0.1410443
1.7,-0.1355972,-0.13575,-0.135071,-0.1327047,-0.136871,-0.1358705
1.8,-0.1209912,-0.1212334,-0.119747,-0.1177913,-0.1218263,-0.1212074
