r,ae,uc,bfd,stu,ccECP.S,ccECP
1.2,0.01848743813,0.01857743813,0.013564639106,0.017852239106,0.016321139106,0.017744539106
1.3,-0.01009136187,-0.01000986187,-0.014035860894,-0.010550160894,-0.011911660894,-0.010722360894
1.4,-0.02563906187,-0.02556096187,-0.028794360894,-0.025962360894,-0.027157460894,-0.026170660894
1.5,-0.03269736187,-0.03261996187,-0.035212760894,-0.032916960894,-0.033954760894,-0.033141960894
1.6,-0.03431336187,-0.03423716187,-0.036305960894,-0.034455760894,-0.035345860894,-0.034682560894
1.7,-0.03256396187,-0.03249116187,-0.034125060894,-0.032649460894,-0.033401760894,-0.032867660894
1.8,-0.02888856187,-0.02882166187,-0.030089660894,-0.028933160894,-0.029556860894,-0.029134760894
