r,ae,uc,bfd,stu,tn17,ccECP,ccECP.S
1.3,-0.00667226824919,-0.00654456824884,-0.010238950894,-0.005415050894,-0.00741657089401,-0.006914230894,-0.008373630894
1.4,-0.0332865682491,-0.0331799682486,-0.036631770894,-0.031935710894,-0.034008110894,-0.033469290894,-0.034775190894
1.5,-0.0491886682493,-0.0490976682487,-0.052255490894,-0.047811260894,-0.049873530894,-0.049329040894,-0.050489360894
1.6,-0.0575097682491,-0.0574327682488,-0.060289990894,-0.056154590894,-0.058153680894,-0.057625660894,-0.058649970894
1.7,-0.0605331682492,-0.0604669682488,-0.063038350894,-0.059231190894,-0.061133840894,-0.060636310894,-0.061538770894
1.8,-0.059914368249,-0.0598557682487,-0.062161900894,-0.058685070894,-0.060471070894,-0.060012190894,-0.060804660894
1.9,-0.0568519682491,-0.0567976682488,-0.058860690894,-0.055707040894,-0.057365030894,-0.056948480894,-0.057642280894
2.0,-0.0522152682491,-0.0521637682485,-0.054003670894,-0.051162550894,-0.052686100894,-0.052313460894,-0.052918240894
