r,ae,uc,bfd,stu,ccECP.S,ccECP
1.2,-0.04027246187,-0.04005106187,-0.03543846187,-0.03920076187,-0.04096776187,-0.04063816187
1.3,-0.06307746187,-0.06286196187,-0.05830246187,-0.06182176187,-0.06366906187,-0.06353376187
1.4,-0.07435376187,-0.07413796187,-0.06957816187,-0.07294956187,-0.07483886187,-0.07485406187
1.5,-0.07807436187,-0.07785086187,-0.07326566187,-0.07655666187,-0.07846166187,-0.07859716187
1.6,-0.07689226187,-0.07665946187,-0.07202966187,-0.07528856187,-0.07719116187,-0.07742196187
1.7,-0.07259246187,-0.07234886187,-0.06766666187,-0.07092726187,-0.07281466187,-0.07312196187
1.8,-0.06638836187,-0.06613296187,-0.06139396187,-0.06468386187,-0.06654456187,-0.06691556187
