r,ae,uc,bfd,stu,tn17,ccECP.S,ccECP
1.0,0.02050463813,0.02049843813,0.01820773813,0.01938753813,0.01786253813,0.01982133813,0.02087053813
1.1,-0.04099906187,-0.04101656187,-0.04278636187,-0.04194556187,-0.04326566187,-0.04157406187,-0.04080186187
1.2,-0.07608176187,-0.07609086187,-0.07744756187,-0.07683906187,-0.07798856187,-0.07652666187,-0.07595016187
1.3,-0.09429216187,-0.09428826187,-0.09533736187,-0.09487476187,-0.09587086187,-0.09462246187,-0.09417996187
1.4,-0.10171866187,-0.10170266187,-0.10253196187,-0.10215296187,-0.10299676187,-0.10196096187,-0.10160796187
1.5,-0.10230716187,-0.10228326187,-0.10295966187,-0.10262286187,-0.10331696187,-0.10248856187,-0.10219506187
1.6,-0.09863956187,-0.09861196187,-0.09918406187,-0.09886386187,-0.09943276187,-0.09878266187,-0.09852906187
1.7,-0.09241906187,-0.09239086187,-0.09289246187,-0.09257436187,-0.09305396187,-0.09254036187,-0.09231426187
1.8,-0.09241906187,-0.09239086187,-0.09289246187,-0.09257436187,-0.09305396187,-0.09254036187,-0.09231426187
