r,ae,uc,bfd,stu,gm99-spectra,zn193
1.1,0.06717723813,0.06725753813,0.06092593813,0.06622053813,0.06453343813,0.06622143813
1.2,0.01866443813,0.01874153813,0.01363793813,0.01794663813,0.01641833813,0.01784033813
1.3,-0.00994496187,-0.00986886187,-0.01397916187,-0.01047706187,-0.01183636187,-0.01064856187
1.4,-0.02550446187,-0.02542976187,-0.02874126187,-0.02589726187,-0.02709056187,-0.02610556187
1.5,-0.03255846187,-0.03248666187,-0.03515356187,-0.03284876187,-0.03388466187,-0.03307366187
1.6,-0.03416126187,-0.03409406187,-0.03623466187,-0.03437626187,-0.03526496187,-0.03460326187
1.7,-0.03239716187,-0.03233566187,-0.03403966187,-0.03255696187,-0.03330786187,-0.03277536187
1.8,-0.02871186187,-0.02865686187,-0.02999326187,-0.02883106187,-0.02945276187,-0.02903216187
