         SCF,CCSD
-1157.40384656, -1158.40957294
-1157.27383189, -1158.32722545
-1157.05460638, -1158.19178251
-1157.18531476, -1158.13740519
-1157.04720339, -1158.06661524
-1156.63916327, -1157.56242258
   -1155.443931,   -1156.324960
-1153.59865839, -1154.43670126
-1150.97379700, -1151.77703611
-1147.49400978, -1148.26980648
-1143.15417506, -1143.89778127
-1084.41970915, -1084.87853790
-1157.258324,   -1158.358566
