Config                Term                   Energy(Ha)
[Ar]$3d^14s^2$       $^2D$            -46.12011559050622      
[Ar]$3d^24s^1$       $^4F$            -46.08146086658436      
[Ar]$3d^3$           $^4F$            -45.96662381029584      
[Ar]$3d^14s^1$       $^3D$            -45.93699997472230      
[Ar]$3d^2$           $^3F$            -45.90575061410000      
[Ar]$3d^1$           $^2D$            -45.48915407633194      
[Ar]                 $^1S$            -44.61069956535638      
[Ne]$3s^2$           $^1S$            -17.20603075041501      
[Ar]$3d^24s^2$       $^3F$            -46.08527906222225      
