        SCF,CCSD
   -942.8842453,   -943.7685245
   -942.8797369,   -943.7650861
   -942.7641607,   -943.6859093
   -942.6763229,   -943.5119079
   -942.6707367,   -943.5304610
   -937.0763854,   -937.7865132
   -895.4538271,   -895.8971979
   -942.8628286,   -943.7899055
   -942.1798194,   -942.9903932
   -941.1370008,   -941.9097184
   -939.4456029,   -940.1886354
