                                                  
                                                                                                                                                                                                                                                                
     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF
   1.125,   -168.9155385,   -169.9182423,   -168.4624650,   -169.3503111,   -0.49999479
   1.175,   -168.9334127,   -169.9355893,      0.0000000,      0.0000000,    0.00000000
   1.225,   -168.9469507,   -169.9482353,      0.0000000,      0.0000000,    0.00000000
   1.275,   -168.9570103,   -169.9571086,      0.0000000,      0.0000000,    0.00000000
   1.325,   -168.9642711,   -169.9629617,      0.0000000,      0.0000000,    0.00000000
   1.375,   -168.9692740,   -169.9663916,      0.0000000,      0.0000000,    0.00000000
   1.425,   -168.9724515,   -169.9678975,      0.0000000,      0.0000000,    0.00000000
   1.475,   -168.9741506,   -169.9678728,      0.0000000,      0.0000000,    0.00000000
   1.525,   -168.9746519,   -169.9666448,      0.0000000,      0.0000000,    0.00000000
   1.575,   -168.9741827,   -169.9644784,      0.0000000,      0.0000000,    0.00000000
                                                  
